date,state,county_identifier,facility_name,jail_id,est_pop_2019,primary_fips,bjs_juris_id,missing_date_ind,total_inmates,new_admissions,new_admissions_smooth,releases,releases_smooth,felony_releases,misd_releases,non_felony_or_misd_releases,releases_has_charge_class,felony_admissions,misd_admissions,non_felony_or_misd_admissions,admissions_has_charge_class,felony_recid_30,felony_recid_60,felony_recid_90,felony_recid_120,felony_recid_150,felony_recid_180,felony_recid_210,misd_recid_30,misd_recid_60,misd_recid_90,misd_recid_120,misd_recid_150,misd_recid_180,misd_recid_210,recid_30,recid_60,recid_90,recid_120,recid_150,recid_180,recid_210,num_felony,num_misd,num_non_felony_or_misd
1/29/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,96,5,5,4,4,0,2,2,4,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,29,17
1/30/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,97,5,5,7,7,1,3,3,7,2,0,3,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,3,3,3,3,3,3,52,27,18
1/31/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,95,5,5,4,4,2,0,2,4,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,26,18
2/1/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,99,8,8,3,3,0,2,1,3,0,4,4,8,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,49,30,20
2/2/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,103,7,7,8,8,0,6,2,8,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,36,18
2/3/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,97,2,2,4,4,0,2,2,4,2,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,3,3,3,3,3,3,51,30,16
2/4/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,94,1,1,6,6,2,3,1,6,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,51,28,15
2/5/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,95,7,7,4,4,0,3,1,4,0,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,49,26,20
2/6/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,99,8,8,8,8,1,3,4,8,3,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,52,25,22
2/7/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,95,4,4,6,6,3,1,2,6,1,1,2,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,2,2,52,23,20
2/8/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,95,6,6,1,1,0,0,1,1,1,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,50,26,19
2/9/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,97,3,3,3,3,1,1,1,3,0,3,0,3,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,29,18
2/10/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,94,0,0,5,5,1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,49,28,17
2/11/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,98,9,9,7,7,1,2,4,7,0,3,6,9,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,2,48,28,22
2/12/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,95,4,4,3,3,0,2,1,3,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,27,21
2/13/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,95,3,3,6,6,0,2,4,6,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,27,21
2/14/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,97,8,8,0,4,0,0,0,0,2,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,26,22
2/15/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,1,97,0,2.5,8,4,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,5,5,,,
2/16/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,94,5,2.5,3,3,0,2,1,3,0,3,2,5,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,46,29,19
2/17/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,91,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,27,18
2/18/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,93,3,3,3,3,1,1,1,3,0,2,1,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,45,29,19
2/19/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,95,5,5,5,5,0,2,3,5,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,44,31,20
2/20/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,94,4,4,4,4,1,3,0,4,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,31,19
2/21/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,98,8,8,8,8,1,3,4,8,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,43,32,23
2/22/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,98,8,8,8,8,1,5,2,8,3,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,45,32,21
2/23/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,96,6,6,2,2,0,1,1,2,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,31,19
2/24/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,96,2,2,8,8,3,3,2,8,1,1,0,2,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,1,1,1,2,3,3,47,31,18
2/25/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,90,2,2,4,4,1,1,2,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,45,29,16
2/26/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,93,7,7,9,9,0,8,1,9,1,5,1,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,45,33,15
2/27/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,89,5,5,7,7,1,3,3,7,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,48,26,15
2/28/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,89,7,7,7,7,2,1,4,7,3,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,50,24,15
2/29/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,91,9,9,4,4,0,3,1,4,3,4,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,27,13
3/1/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,95,8,8,4,4,1,3,0,4,4,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,28,12
3/2/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,94,3,3,9,9,6,3,0,9,1,2,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,55,27,12
3/3/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,87,2,2,4,4,0,2,2,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,50,24,13
3/4/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,88,5,5,5,5,0,4,1,5,1,3,1,5,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,51,25,12
3/5/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,93,10,10,4,4,2,2,0,4,5,4,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,25,12
3/6/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,92,3,3,5,5,2,2,1,5,0,1,2,3,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,2,2,54,24,14
3/7/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,95,8,8,0,0,0,0,0,0,3,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,24,16
3/8/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,98,3,3,3,3,1,1,1,3,1,2,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,57,26,15
3/9/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,102,7,7,7,7,1,4,2,7,1,4,2,7,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57,29,16
3/10/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,100,5,5,5,5,3,0,2,5,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,27,15
3/11/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,100,5,5,5,5,0,3,2,5,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,29,16
3/12/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,99,4,4,7,7,2,3,2,7,1,2,1,4,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,2,2,56,29,14
3/13/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,98,6,6,3,3,0,2,1,3,1,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,28,15
3/14/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,101,6,6,3,3,0,1,2,3,2,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,29,15
3/15/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,103,5,5,5,5,0,4,1,5,1,2,2,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2,2,2,2,2,2,58,30,15
3/16/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,101,3,3,7,7,0,6,1,7,1,2,0,3,0,0,0,0,0,0,0,0,1,1,1,2,4,4,0,1,1,1,2,4,4,59,28,14
3/17/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,99,5,5,8,8,4,2,2,8,4,1,0,5,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,2,3,3,63,23,13
3/18/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,92,1,1,7,7,4,2,1,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,59,21,12
3/19/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,89,4,4,10,10,5,4,1,10,2,2,0,4,0,1,2,2,2,2,2,0,0,0,1,1,1,1,0,1,2,3,3,3,3,57,21,11
3/20/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,80,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,17,10
3/21/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,17,10
3/22/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,81,2,2,2,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,19,10
3/23/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,79,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,17,10
3/24/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,78,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,17,9
3/25/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,77,1,1,3,3,1,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,17,9
3/26/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,77,3,3,1,1,0,1,0,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,16,9
3/27/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,77,1,1,3,3,1,1,1,3,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,16,9
3/28/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,76,2,2,2,2,0,2,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,52,16,8
3/29/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,14,8
3/30/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,75,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,14,8
3/31/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,75,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,53,14,8
4/1/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,77,3,3,2,2,1,0,1,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,13,8
4/2/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,76,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,14,7
4/3/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,76,1,1,2,2,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,15,7
4/4/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,77,3,3,2,2,0,2,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,16,7
4/5/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,77,2,2,4,4,0,4,0,4,0,2,0,2,0,0,0,0,0,0,0,1,1,1,2,2,2,2,1,1,1,2,2,2,2,54,16,7
4/6/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,12,7
4/7/20,KS,Geary,Geary County Detention Center,1044,31670,20061,171031031,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,12,7
